,value,year
0,106886.994,1994
1,145695.594,1995
2,135837.097,1996
3,108242.997,1997
4,112233.236,1998
5,113080.993,1999
6,159078.975,2000
7,102465.182,2001
8,122779.875,2002
9,169564.612,2003
10,188206.403,2004
11,219801.285,2005
12,264047.164,2006
13,260190.169,2007
14,274235.308,2008
15,194371.077,2009
16,224210.988,2010
17,219660.154,2011
18,219984.805,2012
19,227231.264,2013
20,241156.825,2014
21,258250.47,2015
22,236381.284,2016
