,value,year
0,632601.135,1995
1,768636.822,1996
2,1101436.333,1997
3,1382215.403,1998
4,1220299.691,1999
5,1792321.968,2000
6,1759447.584,2001
7,1848581.324,2002
8,2717223.374,2003
9,2784765.932,2004
10,3517284.795,2005
11,3861980.453,2006
12,3932188.783,2007
13,3963616.228,2008
14,2156590.386,2009
15,3192736.271,2010
16,5257429.103,2011
17,5636547.39,2012
18,5888729.281,2013
19,5421597.851,2014
20,4270268.73500001,2015
21,4381005.885,2016
