,value,year
0,2231999.992,1994
1,2807224.976,1995
2,3102147.976,1996
3,3226364.376,1997
4,3594493.968,1998
5,3202626,1999
6,3034835,2000
7,3274195,2001
8,3526054,2002
9,4065281,2003
10,4990284.51,2004
11,5156715.941,2005
12,5548354.839,2006
13,6680232.064,2007
14,8162442.628,2008
15,6955792.26,2009
16,7619333.168,2010
17,8957505.642,2011
18,7723709.234,2012
19,8495998.804,2013
20,9851913.728,2014
21,9344689.755,2015
22,10043097.704,2016
