,value,year
0,7929425.048,1992
1,8395747.16,1993
2,10420941.92,1994
3,11403764.32,1995
4,11917363.08,1996
5,16797119.776,1997
6,21497020.104,1998
7,24074001,1999
8,26911070,2000
9,28246748,2001
10,31726620,2002
11,40225837,2003
12,50632637,2004
13,51025461,2005
14,57687978,2006
15,71731349,2007
16,78883723,2008
17,55667920,2009
18,62993534,2010
19,72153165,2011
20,64953689,2012
21,71844249.549,2013
22,76797120.317,2014
23,70449554.485,2015
24,72367190.168,2016
