,value,year
0,50194.651,1999
1,41628.471,2000
2,47878.457,2001
3,52117.608,2002
4,69444.493,2003
5,77790.798,2004
6,86952.65,2005
7,88904.005,2006
8,93120.746,2007
9,108144.882,2008
10,132750.952,2009
11,127818.539,2010
12,161468.788,2011
13,125140.832,2012
14,126109.706,2013
15,131570.485,2014
16,114698.748,2015
17,115095.653,2016
