,value,year
0,261687.997,1994
1,404724.077,1995
2,485330.617,1996
3,678473.938,1997
4,867126.817000001,1998
5,782188.627,1999
6,780680.269,2000
7,894120.071999998,2001
8,1055988.986,2002
9,1384529.794,2003
10,1686496.557,2004
11,1975123.783,2005
12,2687952.794,2006
13,3701620.12699999,2007
14,3352196.134,2008
15,1508760.401,2009
16,1873715.545,2010
17,2886517.453,2011
18,3174878.74100001,2012
19,3152086.771,2013
20,3389684.607,2014
21,3349884.051,2015
22,2958162.049,2016
