,value,year
0,6550764.134,1994
1,7468517.866,1995
2,8121843.424,1996
3,7773811.89,1997
4,7415297.188,1998
5,7111674.316,1999
6,6203754.23,2000
7,6408128.841,2001
8,7064921.954,2002
9,8891194.408,2003
10,10618467.8,2004
11,10795907.38,2005
12,11742502.736,2006
13,13641931.566,2007
14,16684875.108,2008
15,14083765.567,2009
16,15100310.059,2010
17,18302706.038,2011
18,16452996.257,2012
19,17698524.277,2013
20,18884389.965,2014
21,16942016.733,2015
22,16704755.181,2016
