,country,export,norm
0,AUT,145277307.2,0.10789656
1,BGR,25778745.95,0.017949897
2,HRV,12843529.32,0.008213549
3,CYP,1931425.371,0
4,CZE,157194122.6,0.116866357
5,EST,13902346.04,0.009010522
6,FIN,59682311.21,0.043469138
7,HUN,100296847.3,0.074039732
8,LVA,11491156.72,0.007195617
9,LTU,25411022.24,0.017673111
10,MLT,3915447.978,0.001493375
11,POL,194461157.3,0.144917284
12,ROM,60605047.67,0.044163683
13,SWE,140000674.4,0.103924835
14,BEL,397739156.7,0.297924797
15,FRA,493941214.2,0.370336163
16,DEU,1328549134,0.998546215
17,DNK,94618816.68,0.069765874
18,GRC,28289236.58,0.019839546
19,ITA,456988720.3,0.342521991
20,IRL,124671389.2,0.092386469
21,NLD,473834284.2,0.355201661
22,PRT,55258687.38,0.040139473
23,ESP,278122010.2,0.207888875
24,SVN,26586979.27,0.018558255
25,SVK,75051295.24,0.055037385
26,LUX,12625702.67,0.008049591
