,country,export,norm
0,AUT,166271419.9,0.113123754
1,BGR,29510574.32,0.018867743
2,HRV,12741618.49,0.007310525
3,CYP,2134405.446,0
4,CZE,161524152.1,0.109851921
5,EST,18284136.37,0.011130446
6,FIN,74445385.64,0.049836958
7,HUN,107729975.6,0.072776804
8,LVA,13324704.65,0.00771239
9,LTU,32599742.78,0.020996808
10,MLT,5206239.197,0.002117118
11,POL,203847917.8,0.139021596
12,ROM,65881441.58,0.043934661
13,SWE,167494677.1,0.113966826
14,BEL,511505015,0.351059848
15,FRA,567987697.5,0.389987893
16,DEU,1450950921,0.998528961
17,DNK,110469532.4,0.074664915
18,GRC,36261644.04,0.023520602
19,ITA,518095102.5,0.355601757
20,IRL,115323454,0.078010253
21,NLD,571246854.7,0.392234114
22,PRT,62794139.45,0.041806882
23,ESP,310963647.6,0.212846098
24,SVN,28628740.46,0.01825998
25,SVK,85184158.32,0.057238154
26,LUX,13826005.99,0.008057888
