,country,export,norm
0,AUT,156588406.6,0.116719723
1,BGR,18575129.43,0.012859863
2,HRV,12360221.56,0.008182925
3,CYP,1486412.281,0
4,CZE,120900492.2,0.089863308
5,EST,11739446.69,0.00771577
6,FIN,89798884.88,0.066458251
7,HUN,94590870,0.070064389
8,LVA,7893151.481,0.004821297
9,LTU,17162395.78,0.011796731
10,MLT,3158339.102,0.001258184
11,POL,138784983.2,0.103322018
12,ROM,40264716.42,0.029182042
13,SWE,169061476.9,0.126106148
14,BEL,431743842.7,0.323783896
15,FRA,539730711.5,0.405047824
16,DEU,1328841354,0.998881422
17,DNK,101616124.4,0.075351141
18,GRC,23504156.36,0.016569129
19,ITA,500203413.2,0.375302138
20,IRL,122232810.7,0.090865925
21,NLD,477640553.5,0.35832279
22,PRT,52483606.24,0.038377188
23,ESP,253753921.5,0.189840201
24,SVN,26551122.02,0.018862078
25,SVK,58036003.41,0.042555562
26,LUX,16197286.68,0.011070452
