,country,export,norm
0,AUT,169511432.5,0.113045746
1,BGR,28165219.75,0.01768345
2,HRV,13364022.44,0.0076975
3,CYP,1954770.383,0
4,CZE,162391721.2,0.108242278
5,EST,18139131.43,0.010919131
6,FIN,78794218,0.051841404
7,HUN,111216834,0.073716028
8,LVA,11988196.2,0.006769269
9,LTU,28068648.24,0.017618296
10,MLT,5278693.591,0.002242557
11,POL,188105090.1,0.125590362
12,ROM,62692001.41,0.040977694
13,SWE,186898110.1,0.124776046
14,BEL,475957504.4,0.319796253
15,FRA,585723823.8,0.393852488
16,DEU,1482202274,0.998681172
17,DNK,112713338.9,0.074725677
18,GRC,33377038.76,0.021199717
19,ITA,523256296.2,0.351707412
20,IRL,127004051.2,0.084367217
21,NLD,530575758.7,0.356645647
22,PRT,59588301.89,0.038883715
23,ESP,298170964.5,0.199848698
24,SVN,28984136.41,0.01823595
25,SVK,78487242.56,0.051634297
26,LUX,16307879.41,0.009683637
