,country,export,norm
0,AUT,131387248,0.115296768
1,BGR,16502519.89,0.01343415
2,HRV,10491835.5,0.008104773
3,CYP,1350948.81,0
4,CZE,112884321.3,0.098891136
5,EST,10445840.39,0.008063991
6,FIN,62860482.54,0.054537468
7,HUN,82571847,0.072014561
8,LVA,7171469.774,0.005160769
9,LTU,16496339.33,0.01342867
10,MLT,2280269.219,0.000823983
11,POL,136641304.6,0.119955281
12,ROM,40620889.72,0.034818718
13,SWE,131116175.4,0.115056421
14,BEL,370879193.6,0.327642455
15,FRA,464112811,0.410308102
16,DEU,1127839933,0.99880218
17,DNK,92090687.34,0.080454447
18,GRC,24236625,0.020291599
19,ITA,406479126.9,0.359207159
20,IRL,116894674.2,0.102446918
21,NLD,431502452.5,0.381394107
22,PRT,44249979.86,0.038036453
23,ESP,223132207.9,0.196642496
24,SVN,22405415.27,0.018667956
25,SVK,55553022.16,0.048058303
26,LUX,12542132.52,0.00992267
