,country,export,norm
0,AUT,144882002,0.112796757
1,BGR,20608005.16,0.015027616
2,HRV,11810676.24,0.00810656
3,CYP,1506457.953,0
4,CZE,132140913.8,0.102773057
5,EST,12811364.48,0.008893824
6,FIN,70116501.48,0.053977061
7,HUN,94748737,0.073355793
8,LVA,8850801.231,0.00577796
9,LTU,20813922.63,0.015189616
10,MLT,3716753.993,0.001738889
11,POL,157064948.5,0.122381355
12,ROM,49413386.1,0.037689455
13,SWE,158410622,0.123440026
14,BEL,407595914.3,0.319479686
15,FRA,511651042.7,0.40134219
16,DEU,1271096329,0.998814836
17,DNK,96216730.27,0.074510696
18,GRC,27585695.54,0.020517121
19,ITA,446839829.7,0.350353755
20,IRL,118337540.3,0.091913634
21,NLD,492645871.6,0.386390396
22,PRT,49414051.27,0.037689979
23,ESP,246265330.4,0.192557296
24,SVN,24434752.22,0.018038204
25,SVK,63998612.53,0.04916398
26,LUX,13911259.2,0.009759135
