,country,export,norm
0,AUT,158820954.1,0.111333691
1,BGR,26698780.09,0.017638636
2,HRV,12368983.41,0.007476594
3,CYP,1826017.361,0
4,CZE,156422742.6,0.109632988
5,EST,18161223.71,0.011584188
6,FIN,72974489.14,0.05045527
7,HUN,103006014,0.071752266
8,LVA,12685521.52,0.007701068
9,LTU,29652662.13,0.019733395
10,MLT,5646270.198,0.00270915
11,POL,179603599.4,0.126071801
12,ROM,57904330.43,0.039768197
13,SWE,172439164.1,0.120991108
14,BEL,446854421.2,0.315593966
15,FRA,558460545.5,0.394739969
16,DEU,1410129633,0.998705071
17,DNK,106104022.2,0.073949233
18,GRC,35151146.15,0.02363267
19,ITA,501528850.9,0.354366593
20,IRL,117769694.9,0.082221999
21,NLD,552461793.7,0.390485927
22,PRT,58140499.72,0.039935678
23,ESP,285936445.7,0.201478234
24,SVN,27080021.57,0.017908995
25,SVK,79866996.37,0.055343124
26,LUX,13726902.68,0.008439568
