,country,export,norm
0,AUT,134169531.3,0.11832358
1,BGR,15101457.07,0.012198791
2,HRV,10376964.37,0.007987874
3,CYP,1414865.802,0
4,CZE,95140986.34,0.08353763
5,EST,10039366.95,0.007686975
6,FIN,77279102.96,0.067617421
7,HUN,74055406,0.064744156
8,LVA,5891472.502,0.003989978
9,LTU,14135189.84,0.011337562
10,MLT,2847260.492,0.001276686
11,POL,109584113.1,0.096410718
12,ROM,32336029.67,0.027559881
13,SWE,147370408,0.130089457
14,BEL,366835492.4,0.325697606
15,FRA,479012852,0.425680735
16,DEU,1121962887,0.998738937
17,DNK,90638722.24,0.079524784
18,GRC,20942761.76,0.017405118
19,ITA,417152997,0.37054535
20,IRL,108762824.4,0.095678707
21,NLD,400685883.2,0.355868293
22,PRT,44777435.76,0.038648845
23,ESP,214061202.1,0.189530633
24,SVN,20982712.89,0.017440726
25,SVK,41686247.34,0.035893684
26,LUX,14183095.73,0.011380261
